Państwo;liczba przedsiębiorstw z branży gastronomicznej i mobilnej gastronomii;5-letni CAGR liczby przedsiębiorstw z branży gastronomicznej i mobilnej gastronomii [%];liczba zatrudnionych w restauracjach i mobilnych punktach gastronomicznych [%];5-letni CAGR liczby zatrudnionych w restauracjach i mobilnych punktach gastronomicznych [%];Całkowita liczba chronionych produktów regionalnych i tradycyjnych;Wskaźnik nasycenia chronionymi produktami regionalnymi (liczba produktów na 10 mln mieszkańców);Porównywalny wskaźnik poziomu cen dla restauracji i hoteli (średnia UE = 100);Udział noclegów udzielonych w III kwartale (miesiące letnie) w ogólnej liczbie noclegów w roku [%];Liczba restauracji z gwiazdka;Wskaźnik nasycenia restauracjami z gwiazdkami Michelin (liczba wyróżnionych restauracji na 10 mln mieszkańców)
Francja;177140;1,87%;9%;0,73%;750;110294117,6;119,5;40,50%;641;94264705,88
Włochy;167340;1,43%;10,74%;0,40%;880;149152542,4;104,9;43,10%;395;66949152,54
Niemcy;152620;2,32%;19,61%;0,89%;170,00;20286396,18;112,5;31,80%;340;40572792,36
Wielka Brytania;97850;1,95%;16,14%;1,83%;85,00;12573964,5;105;33%;193;28550295,86
Hiszpania;74550;0,52%;9,32%;4,67%;370,00;77083333,33;89,6;38,00%;283;58958333,33
Czechy;44800;-0,34%;7%;2,07%;40;36697247,71;74,5;35,10%;9;8256880,734
Polska;43170;1,90%;2,72%;2,25%;50,00;13297872,34;76,7;39,80%;7;1861702,128
Grecja;40480;0,27%;4,05%;3,67%;270,00;259615384,6;87,4;53,20%;12;11538461,54
Holandia;36690;3,76%;4,18%;1,85%;15,00;8474576,271;116,7;32,50%;119;67231638,42
Portugalia;32660;0,81%;7%;2,07%;190,00;180952381;73,6;37,20%;46;43809523,81
Austria;86730;1,45%;2,54%;1,58%;40,00;43956043,96;114,3;29,40%;80;87912087,91
Szwecja;86730;1,45%;2,43%;2,85%;10,00;9523809,524;133,7;47,50%;23;21904761,9
